,LAENGE_LAENGSTES_WORT,ID
12616,11,100034
12617,11,100034
12618,11,100034
12619,11,100034
12620,11,100034
12621,11,100034
12622,12,160211
12623,12,160211
12624,12,160211
12625,12,160211
12626,12,160211
12627,12,160211
12628,12,160211
12629,12,160211
12630,12,160211
12631,12,160211
12632,12,160211
12633,15,1698101
12634,15,1698101
12635,15,1698101
12636,14,1366059
12637,14,1127521
12638,13,683743
12639,13,683743
12640,13,683743
12641,13,683743
12642,13,683743
12643,13,683743
12644,13,683743
12645,13,683743
12646,14,35234
12647,14,35234
12648,14,35234
12649,14,35234
12650,14,35234
12651,14,35234
12652,14,35234
12653,14,35234
12654,14,35234
12655,11,1073
12656,11,1073
12657,11,1073
12658,11,1073
12659,11,1073
12660,11,1073
12661,11,1073
12662,11,1073
12663,11,1073
12664,11,1073
12665,11,1073
12666,11,1073
12667,11,1073
12668,11,1073
12669,11,1073
12670,11,1073
12671,13,8706
12672,13,8706
12673,13,8706
12674,13,8706
12675,13,8706
12676,13,8706
12677,13,8706
12678,10,877618
12679,10,877618
12680,10,877618
12681,10,877618
12682,10,877618
12683,10,877618
12684,10,877618
12685,10,877618
12686,10,877618
12687,10,877618
12688,10,877618
12689,10,877618
12690,10,877618
12691,10,877618
12692,10,877618
12693,10,877618
12694,10,877618
12695,10,877618
12696,10,877618
12697,10,877618
12698,10,877618
12699,10,877618
12700,15,20246
12701,15,20246
12702,15,20246
12703,15,20246
12704,13,1043
12705,13,1043
12706,13,1043
12707,13,1043
12708,13,1043
12709,13,1043
12710,13,1043
12711,13,1043
12712,13,1043
12713,13,1043
12714,13,1043
12715,13,1043
12716,13,1043
12717,13,1043
12718,13,1043
12719,13,1043
12720,13,1043
12721,13,1043
12722,13,1043
12723,13,1043
12724,13,1043
12725,21,1090665
12726,12,47145
12727,12,47145
12728,11,1005616
12729,11,1005616
12730,11,1005616
12731,11,1005616
12732,11,1005616
12733,11,1005616
12734,11,1005616
12735,11,1005616
12736,11,1005616
12737,11,1005616
12738,11,1005616
12739,11,1005616
12740,11,1005616
12741,11,1005616
12742,11,10822
12743,11,10822
12744,11,10822
12745,11,10822
12746,11,10822
12747,11,10822
12748,11,10822
12749,11,10822
12750,11,10822
12751,10,177829
12752,10,177829
12753,12,12069
12754,12,12069
12755,12,12069
12756,12,12069
12757,12,12069
12758,12,12069
12759,12,12069
12760,12,12069
12761,12,12069
12762,12,12069
12763,20,813591
12764,20,813591
12765,20,813591
12766,20,813591
12767,20,813591
12768,20,813591
12769,20,813591
12770,20,813591
12771,20,813591
12772,20,813591
12773,20,813591
12774,20,813591
12775,20,813591
12776,20,813591
12777,20,813591
12778,20,813591
12779,20,813591
12780,20,813591
12781,20,813591
12782,20,813591
12783,20,813591
12784,20,813591
12785,20,813591
12786,20,813591
12787,20,813591
12788,20,813591
12789,20,813591
12790,20,813591
12791,20,813591
12792,20,813591
12793,20,813591
12794,13,56921
12795,13,56921
12796,13,56921
12797,13,56921
12798,13,56921
12799,13,56921
12800,13,56921
12801,13,56921
12802,13,18752
12803,13,18752
12804,13,18752
12805,13,18752
12806,13,18752
12807,13,18752
12808,13,18752
12809,13,18752
12810,13,18752
12811,13,18752
12812,13,18752
12813,13,18752
12814,13,18752
12815,13,18752
12816,13,18752
12817,13,18752
12818,13,18752
12819,18,158923
12820,18,158923
12821,18,158923
12822,18,158923
12823,18,158923
12824,18,158923
12825,18,158923
12826,18,158923
12827,14,8452
12828,14,8452
12829,14,8452
12830,14,8452
12831,14,8452
12832,13,84637
12833,13,84637
12834,13,84637
12835,13,84637
12836,13,84637
12837,13,84637
12838,13,84637
12839,13,188426
12840,13,188426
12841,13,188426
12842,13,188426
12843,13,188426
12844,13,188426
12845,13,188426
12846,13,188426
12847,13,188426
12848,13,188426
12849,13,188426
12850,22,608000
12851,14,1576972
12852,14,1576972
12853,14,1576972
12854,14,1576972
12855,16,408910
12856,16,408910
12857,16,408910
12858,16,408910
12859,16,408910
12860,16,408910
12861,16,408910
12862,16,408910
12863,44,1143985
12864,15,1766192
12865,11,528037
12866,11,528037
12867,13,1766191
12868,11,726277
12869,11,726277
12870,12,53553
12871,12,53553
12872,12,53553
12873,14,4986
12874,14,4986
12875,14,4986
12876,14,4986
12877,14,4986
12878,14,4986
12879,10,48297
12880,10,48297
12881,10,48297
12882,10,48297
12883,10,48297
12884,10,48297
12885,10,48297
12886,10,48297
12887,10,48297
12888,14,176823
12889,14,176823
12890,14,176823
12891,14,176823
12892,14,176823
12893,14,176823
12894,14,176823
12895,14,176823
12896,14,176823
12897,14,176823
12898,14,176823
12899,14,176823
12900,10,204185
12901,10,204185
12902,10,204185
12903,10,204185
12904,10,204185
12905,10,204185
12906,10,204185
12907,10,204185
12908,10,204185
12909,10,204185
12910,10,204185
12911,10,204185
12912,10,204185
12913,10,204185
12914,10,204185
12915,10,204185
12916,10,204185
12917,10,204185
12918,10,204185
12919,10,204185
12920,10,204185
12921,10,204185
12922,10,204185
12923,14,1696657
12924,14,1696657
12925,12,717573
12926,12,717573
12927,12,717573
12928,12,717573
12929,12,717573
12930,12,717573
12931,12,717573
12932,13,1274
12933,13,1274
12934,13,1274
12935,13,1274
12936,13,1274
12937,13,1274
12938,13,1274
12939,13,1274
12940,13,1274
12941,13,1274
12942,13,1274
12943,17,308433
12944,12,683742
12945,12,683742
12946,12,683742
12947,10,15453
12948,10,15453
12949,10,15453
12950,10,15453
12951,10,15453
12952,10,15453
12953,10,15453
12954,10,15453
12955,10,15453
12956,10,15453
12957,10,15453
12958,10,15453
12959,10,15453
12960,10,15453
12961,10,15453
12962,10,15453
12963,11,1195985
12964,16,142745
12965,16,142745
12966,16,142745
12967,16,142745
12968,16,142745
12969,16,142745
12970,12,24907
12971,15,9939
12972,12,3081
12973,12,3081
12974,12,3081
12975,12,3081
12976,12,3081
12977,12,3081
12978,12,3081
12979,12,3081
12980,12,3081
12981,12,3081
12982,12,3081
12983,12,3081
12984,12,3081
12985,12,3081
12986,12,3081
12987,12,3081
12988,12,3081
12989,12,3081
12990,18,1580059
12991,18,1580059
12992,18,1580059
12993,18,1580059
12994,12,1739829
12995,12,1739829
12996,13,77445
12997,13,77445
12998,15,188888
12999,15,188888
13000,13,1721762
13001,13,1721762
13002,13,1721762
13003,13,1721762
13004,13,1721762
13005,13,1721762
13006,13,1721762
13007,13,1721762
13008,13,1721762
13009,13,1721762
13010,13,1721762
13011,13,1721762
13012,13,1721762
13013,13,1721762
13014,34,642415
13015,34,642415
13016,34,642415
13017,34,642415
13018,34,642415
13019,34,642415
13020,34,642415
13021,34,642415
13022,34,642415
13023,34,642415
13024,34,642415
13025,34,642415
13026,34,642415
13027,34,642415
13028,34,642415
13029,34,642415
13030,34,642415
13031,34,642415
13032,34,642415
13033,34,642415
13034,34,642415
13035,13,1687160
13036,13,1687160
13037,14,1422433
13038,13,214018
13039,13,214018
13040,13,214018
13041,9,4336
13042,9,4336
13043,9,4336
13044,9,4336
13045,9,4336
13046,9,4336
13047,9,4336
13048,9,4336
13049,9,4336
13050,9,4336
13051,9,4336
13052,9,4336
13053,9,4336
13054,9,4336
13055,13,1764871
13056,13,1764871
13057,13,1764871
13058,13,1764871
13059,13,1764871
13060,13,1764871
13061,13,1764871
13062,13,1764871
13063,13,1764871
13064,13,1764871
13065,13,1764871
13066,13,1764871
13067,13,1764871
