,ID,Number_of_Stopwords,Stopword_Percentage
19630,1917281,34,0.0014937175995079518
19631,1912446,32,0.0014058518583604253
19632,1922239,37,0.0016255162112292418
19633,1922239,37,0.0016255162112292418
19634,1922235,49,0.002152710658114401
19635,1923995,65,0.002855636587294614
19636,1924327,67,0.0029435023284421404
19637,1924327,67,0.0029435023284421404
19638,1924327,67,0.0029435023284421404
19639,1924327,67,0.0029435023284421404
19640,1924327,67,0.0029435023284421404
19641,1924327,67,0.0029435023284421404
19642,1925501,40,0.0017573148229505316
19643,1925501,40,0.0017573148229505316
19644,1925962,37,0.0016255162112292418
19645,1925963,50,0.0021966435286881643
19646,1923534,48,0.002108777787540638
19647,1923534,48,0.002108777787540638
19648,108812,30,0.0013179861172128986
19649,108812,30,0.0013179861172128986
19650,108812,30,0.0013179861172128986
19651,108812,30,0.0013179861172128986
19652,108812,30,0.0013179861172128986
19653,108812,30,0.0013179861172128986
19654,108812,30,0.0013179861172128986
19655,108812,30,0.0013179861172128986
19656,108812,30,0.0013179861172128986
19657,108812,30,0.0013179861172128986
19658,1928168,44,0.0019330463052455848
19659,1928168,44,0.0019330463052455848
19660,1928168,44,0.0019330463052455848
19661,1928168,44,0.0019330463052455848
19662,1928168,44,0.0019330463052455848
19663,1928168,44,0.0019330463052455848
19664,1928168,44,0.0019330463052455848
19665,1928168,44,0.0019330463052455848
19666,1928168,44,0.0019330463052455848
19667,1928168,44,0.0019330463052455848
19668,1928169,49,0.002152710658114401
19669,1928169,49,0.002152710658114401
19670,1928169,49,0.002152710658114401
19671,1928169,49,0.002152710658114401
19672,1928169,49,0.002152710658114401
19673,1928169,49,0.002152710658114401
19674,1928169,49,0.002152710658114401
19675,1928169,49,0.002152710658114401
19676,1928169,49,0.002152710658114401
19677,1925555,62,0.002723837975573324
19678,1925555,62,0.002723837975573324
19679,1925506,49,0.002152710658114401
19680,1925506,49,0.002152710658114401
19681,1925506,49,0.002152710658114401
19682,1925506,49,0.002152710658114401
19683,1925506,49,0.002152710658114401
19684,1925506,49,0.002152710658114401
19685,1925506,49,0.002152710658114401
19686,1925506,49,0.002152710658114401
19687,1925506,49,0.002152710658114401
19688,1925506,49,0.002152710658114401
19689,1925506,49,0.002152710658114401
19690,1925506,49,0.002152710658114401
19691,1925506,49,0.002152710658114401
19692,1925506,49,0.002152710658114401
19693,1925506,49,0.002152710658114401
19694,1928170,48,0.002108777787540638
19695,1928170,48,0.002108777787540638
19696,1955855,48,0.002108777787540638
19697,1955855,48,0.002108777787540638
19698,1955855,48,0.002108777787540638
19699,1925970,55,0.002416307881556981
19700,1930717,45,0.001976979175819348
19701,1930717,45,0.001976979175819348
19702,1930717,45,0.001976979175819348
19703,1930717,45,0.001976979175819348
19704,1930717,45,0.001976979175819348
19705,1928601,60,0.0026359722344257972
19706,1931360,50,0.0021966435286881643
19707,1931360,50,0.0021966435286881643
19708,1931360,50,0.0021966435286881643
19709,1931360,50,0.0021966435286881643
19710,1931360,50,0.0021966435286881643
19711,1932537,49,0.002152710658114401
19712,1932537,49,0.002152710658114401
19713,1932618,51,0.002240576399261928
