,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
19,0.009249091148376465,0.000433810270167818,0.0015009045600891113,0.0005003815111903947,entropy,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 100}",0.5896700143472023,0.5889526542324247,0.5509325681492109,0.4964131994261119,0.5564921090387375,0.0380619372538801,26
20,0.01350027322769165,0.0005003843795861693,0.0014989972114562988,0.0005001433769940657,entropy,7,5,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 5}",0.6893830703012912,0.642754662840746,0.5911047345767575,0.5595408895265424,0.6206958393113342,0.04954818048920299,12
21,0.013498306274414062,0.0008663756372148008,0.0017513036727905273,0.0004335319980654164,entropy,7,10,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 10}",0.6836441893830703,0.633428981348637,0.578909612625538,0.5566714490674318,0.6131635581061692,0.04935305950248041,13
22,0.013249218463897705,0.00043287860444406786,0.001000523567199707,6.194296387084284e-07,entropy,7,20,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 20}",0.6606886657101865,0.6786226685796269,0.5824964131994261,0.5286944045911047,0.6126255380200861,0.060452222470684144,14
23,0.012499749660491943,0.0005005005783901002,0.0020005106925964355,0.0007072246479878735,entropy,7,50,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 50}",0.6406025824964132,0.5968436154949784,0.5566714490674318,0.5308464849354376,0.5812410329985652,0.041564735859796836,20
24,0.01224970817565918,0.00043401392938841054,0.0015000104904174805,0.000499487108148618,entropy,7,100,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 100}",0.6004304160688666,0.609038737446198,0.5832137733142038,0.5717360114777619,0.5911047345767575,0.01454313840223333,19
25,0.01749974489212036,0.0005006199295226572,0.0012509822845458984,0.0004326375949935384,entropy,10,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5}",0.7266857962697274,0.757532281205165,0.6829268292682927,0.6212338593974175,0.6970946915351507,0.05119553178348601,2
26,0.0162503719329834,0.0019205664094666668,0.0014998316764831543,0.0004997850672858768,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10}",0.7087517934002869,0.7352941176470589,0.6700143472022956,0.6083213773314203,0.6805954088952655,0.047749935163700095,5
27,0.016998589038848877,0.0012250941825509764,0.0020006299018859863,0.0007073933959679562,entropy,10,20,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 20}",0.693687230989957,0.7309899569583931,0.6420373027259685,0.6040172166427547,0.6676829268292683,0.048463967511576125,6
28,0.014749228954315186,0.00043232804481711595,0.0012503862380981445,0.000433257483253597,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 50}",0.6850789096126255,0.6893830703012912,0.6434720229555236,0.5774748923959828,0.6488522238163559,0.04494105106293052,8
29,0.010498762130737305,0.0011184330027662584,0.0010004043579101562,9.684608464999152e-07,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 100}",0.6047345767575323,0.6083213773314203,0.6269727403156384,0.5703012912482066,0.6025824964131994,0.020460488804808684,17
