LIED_ID,POSITION,DATUM_VON,DATUM_BIS
6652,8,1992-05-11,1992-05-17
37897,42,1992-05-11,1992-05-17
6652,44,1992-08-17,1992-08-23
37846,45,1993-03-29,1993-04-04
2573,26,1993-04-05,1993-04-11
10928,36,1993-05-03,1993-05-09
10928,43,1993-06-21,1993-06-27
70441,43,1993-07-12,1993-07-18
2623,36,1993-08-02,1993-08-08
12074,50,1993-10-11,1993-10-17
12074,49,1993-10-18,1993-10-24
2732,4,1993-12-13,1993-12-19
15710,29,1993-12-20,1994-01-02
2732,6,1994-01-03,1994-01-09
15710,27,1994-01-03,1994-01-09
2732,6,1994-01-10,1994-01-16
2724,15,1994-01-24,1994-01-30
15710,20,1994-01-24,1994-01-30
2732,36,1994-02-28,1994-03-06
6601,41,1994-02-28,1994-03-06
15710,32,1994-03-28,1994-04-03
6600,47,1994-04-04,1994-04-10
6600,47,1994-04-25,1994-05-01
2874,19,1994-09-12,1994-09-18
51272,35,1994-09-26,1994-10-02
42321,37,1994-09-26,1994-10-02
2874,8,1994-11-14,1994-11-20
2874,21,1994-12-12,1994-12-18
51259,27,1995-04-24,1995-04-30
2987,1,1995-06-05,1995-06-11
3047,1,1995-06-26,1995-07-02
21288,10,1995-07-03,1995-07-09
3053,25,1995-07-10,1995-07-16
3053,8,1995-08-28,1995-09-03
3053,29,1995-09-25,1995-10-01
3081,5,1995-10-09,1995-10-15
3081,21,1995-11-20,1995-11-26
3131,3,1996-01-08,1996-01-14
20771,30,1996-01-08,1996-01-14
8567,29,1996-01-15,1996-01-21
3167,43,1996-01-29,1996-02-04
3167,42,1996-02-19,1996-02-25
3172,5,1996-02-26,1996-03-03
3168,32,1996-03-04,1996-03-10
3131,29,1996-03-11,1996-03-17
3131,36,1996-03-18,1996-03-24
3131,49,1996-04-01,1996-04-07
3227,14,1996-04-15,1996-04-21
3202,20,1996-04-22,1996-04-28
3172,34,1996-04-29,1996-05-05
3217,13,1996-05-27,1996-06-02
3217,11,1996-06-17,1996-06-23
3202,34,1996-06-17,1996-06-23
3227,43,1996-07-01,1996-07-07
3269,24,1996-08-26,1996-09-01
3262,17,1996-09-02,1996-09-08
25850,38,1996-09-02,1996-09-08
9191,46,1996-09-02,1996-09-08
3381,26,1997-01-06,1997-01-12
3338,4,1997-01-20,1997-01-26
3403,1,1997-03-31,1997-04-06
